Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SUPPLY FAN_UNIT1:Fan Electricity Energy [J](Hourly),HEATING COIL GAS:Heating Coil Heating Energy [J](Hourly),HEATING COIL GAS:Heating Coil NaturalGas Energy [J](Hourly),HEATING COIL GAS:Heating Coil Electricity Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Electricity Energy [J](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Temperature [C](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Wetbulb Temperature [C](Hourly)
 01/03  21:00:00,5.0,2.0881173183736938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49828.66437094069,5531393.694847177,6914242.11855897,0.0,0.0,0.0,20.890191015894293,10.67530456049216
 01/03  22:00:00,5.0,2.004743185752705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54950.970904887305,6100012.067878874,7625015.084848589,0.0,0.0,0.0,20.89004721737364,10.763363309665337
 01/03  23:00:00,5.325,2.0040628872224066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62437.572106541535,6931086.695414264,8663858.369267829,0.0,0.0,0.0,20.890031124543904,10.765037997982276
 01/03  24:00:00,5.6000000000000009,2.0602785139287347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15088.704470734221,1674970.9394479609,2093713.6743099509,0.0,0.0,0.0,19.277473296830065,10.001858626923797
 01/04  01:00:00,4.95,1.8772712609333767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30379.814711357434,3372410.5927075168,4215513.240884396,0.0,0.0,0.0,19.22351445935191,9.927261773577362
 01/04  02:00:00,4.7250000000000009,1.9136388841334416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37072.938894995736,4115402.711312182,5144253.389140227,0.0,0.0,0.0,19.22352309754316,9.9215432282224
 01/04  03:00:00,5.0,2.0855815205987384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39800.20410737596,4418151.6970693389,5522689.621336672,0.0,0.0,0.0,19.22350957505968,9.925915509690319
 01/04  04:00:00,5.0,2.0839345585314974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44006.94230913586,4885134.415929001,6106418.01991125,0.0,0.0,0.0,19.22350195383404,9.922500507192293
 01/04  05:00:00,5.325,2.283868737522521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49195.64493512903,5461123.304095817,6826404.130119772,0.0,0.0,0.0,19.223522089031819,9.905298513577277
 01/04  06:00:00,5.6000000000000009,2.3242505874893317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52071.43102088726,5780359.334667994,7225449.168334992,0.0,0.0,0.0,19.223575000034914,9.87026316241139
